pprojid	ptitle	data_owner	projid	title	license	use	lat,lon OK in ecopart (0=no, 1=ok)	faulty_lights_fix (0=no, 1=not needed, 2=filtered)	flag_2_in_ecotaxa
266	uvp6_sn000109lp_20201001_intercalibrage		3506	uvp6_sn000109lp_20201001_intercalibrage	CC BY 4.0		#N/A	#N/A	
267	uvp6_sn000123lp_20201001_intercalibrage		3507	uvp6_sn000123lp_20201001_intercalibrage	CC BY 4.0		#N/A	#N/A	
268	uvp5_sn221_algoa_bay_2020_filtered	margauxnoyon@gmail.com	3581	UVP5 Algoa Bay 2020	CC BY 4.0		#N/A	#N/A	
269	uvp6_sn000009lp_20201022_intercalibrage		3662	uvp6_sn000009lp_20201022_intercalibrage	CC BY 4.0		#N/A	#N/A	
270	uvp5_sn210_2018_msm080	rkiko@geomar.de					1	2	yes
271	uvp5_sn210_2019_m156	rkiko@geomar.de					1	2	yes
272	uvp5_sn210_2019_m157	rainer.kiko@obs-vlfr.fr					1	2	yes
273	uvp5_sn210_2020_msm089	rkiko@geomar.de					1	2	yes
274		rkiko@geomar.de					#N/A	#N/A	
275	uvp5_sn210_2019_m160	rkiko@geomar.de					1	2	yes
276	uvp6_sn000003lp_20201109_seaexplorer_002		3887	uvp6_sn000003lp_20201109_seaexplorer_002	CC BY 4.0		#N/A	#N/A	
277	uvp6_sn000104lp_2020_07_float_remote								
278	uvp6_sn000103lp_2020_07_float_remote								
279	uvp6_sn000108lp_2020_07_float_remote								
280	uvp5_sn204_mosaic_primary_filtered	andreas.rogge@awi.de	3903	uvp5hd_sn204_MOSAiC	Copyright				
281	uvp5_sn008_oden2019	enter op. email	3904	uvp5_sn008_oden2019	CC BY-NC 4.0				
284	uvp6_sn000125hf_20201022_rade_test_cdt								
285	uvp6_sn000125hf_2020_solace	philip.boyd@utas.edu.au	3945	uvp6_sn000125hf_2020_solace	CC BY 4.0				
286	uvp6_sn000125hf_20201015_rade_testctd								
287	uvp5_sn205_solace_2020_2021_filtered	david.antoine@curtin.edu.au	4034	uvp5_sn205_solace_2020_2021_filtered					
288	uvp5_sn205_intercalibrage_20201001	enter op. email							
289	uvp5_sn210_intercalibrage_20210107	amanda.elineau@obs-vlfr.fr							
290	uvp6_sn000005lp_20210107_intercalibrage								
291	uvp6_sn000008lp_20210107_intercalibrage								
292	uvp6_sn000010lp_20210107_intercalibrage								
293	uvp6_sn000005lp_20201001_intercalibrage								
294	uvp6_sn000008lp_20201001_intercalibrage								
295	uvp6_sn000010lp_20201001_intercalibrage								
296	uvp6_sn000125hf_20201001_intercalibrage								
297	uvp5_sn203_2020_msm93	anya.waite@dal.ca	3990	UVP5HD sn203 MSM93 2020					
298	uvp6_sn000125hf_20210212_intercalibrage		4008	uvp6_sn000125hf_20210212_intercalibrage					
299	uvp6_sn000107lp_20210203_rade_sediment		4011	uvp6_sn000107lp_20210203_rade_sediment					
301	uvp6_sn000003lp_2021_sea002_M486	marc.picheral@obs-vlfr.fr	4028	uvp6_sn000003lp_2021_sea002_M486	Copyright				
302	UVP5 Algoa Bay 2020_NOTfiltered	margauxnoyon@gmail.com	3581	UVP5 Algoa Bay 2020	CC BY 4.0				
303	uvp6_sn000003lp_2021_sea002_m487	marc.picheral@obs-vlfr.fr	4041	uvp6_sn000003lp_2021_sea002_m487					
304	uvp6_sn000139lp_202103_intercalibrage	marc.picheral@obs-vlfr.fr	4060	uvp6_sn000139lp_202103_intercalibrage	CC BY-NC 4.0				
305	uvp6_sn000121lp_202103_intercalibrage	marc.picheral@obs-vlfr.fr	4061	uvp6_sn000121lp_202103_intercalibrage	CC BY-NC 4.0				
306	uvp6_sn000006lp_202103_intercalibrage	marc.picheral@obs-vlfr.fr	4062	uvp6_sn000006lp_202103_intercalibrage	CC BY-NC 4.0				
307	uvp6_sn000141lp_202103_intercalibrage	marc.picheral@obs-vlfr.fr	4064	uvp6_sn000141lp_202103_intercalibrage	CC BY-NC 4.0				
308	uvp6_sn000003lp_2021_sea002_m488	marc.picheral@obs-vlfr.fr	4065	uvp6_sn000003lp_2021_sea002_m488					
309	uvp5_sn204_2021_he570_filtered	enter op. email	4105	uvp5_sn204_2021_he570_filtered	Copyright				
310	uvp5_sn210_2019_lima	rainer.kiko@obs-vlfr.fr	2465	UVP5 GEOMAR 2019 Lima					
311	uvp6_sn000003lp_2021_sea002_m489	marc.picheral@obs-vlfr.fr	4171	uvp6_sn000003lp_2021_sea002_m489					
312	uvp6_sn000133lp_20210331_intercalibrage		4177	uvp6_sn000133lp_20210331_intercalibrage	CC BY-NC 4.0				
313	uvp6_sn000139lp_20210331_intercalibrage	marc.picheral@obs-vlfr.fr							
314	uvp6_sn000132lp_20210331_intercalibrage		4184	uvp6_sn000132lp_20210331_intercalibrage	CC BY-NC 4.0				
315	uvp6_sn000105lp_20210331_intercalibrage		4186	uvp6_sn000105lp_20210331_intercalibrage	CC BY-NC 4.0				
316	uvp6_sn000119lp_20210331_intercalibrage		4189	uvp6_sn000119lp_20210331_intercalibrage	CC BY-NC 4.0				
317	uvp6_sn000136lp_20210331_intercalibrage		4195	uvp6_sn000136lp_20210331_intercalibrage	CC BY-NC 4.0				
318	uvp6_sn000140lp_20210331_intercalibrage		4196	uvp6_sn000140lp_20210331_intercalibrage	CC BY-NC 4.0				
319	uvp6_sn000147lp_20210331_intercalibrage		4198	uvp6_sn000147lp_20210331_intercalibrage	CC BY-NC 4.0				
320	uvp6_sn000135lp_20210331_intercalibrage		4199	uvp6_sn000135lp_20210331_intercalibrage	CC BY-NC 4.0				
321	uvp6_sn000009lp_20210331_intercalibrage	marc.picheral@obs-vlfr.fr	4201	uvp6_sn000009lp_20210331_intercalibrage	CC BY-NC 4.0				
322	uvp6_sn000109lp_202103_fjord_experiment_he570	rainer.kiko@obs-vlfr.fr	4205	uvp6_sn000109lp_202103_fjord_experiment_he570	CC BY-NC 4.0				
323	uvp6_sn000111lp_202103_fjord_experiment_he570	rainer.kiko@obs-vlfr.fr	4206	uvp6_sn000111lp_202103_fjord_experiment_he570	CC BY-NC 4.0				
324	uvp6_sn000112lp_202103_fjord_experiment_he570	rainer.kiko@obs-vlfr.fr	4207	uvp6_sn000112lp_202103_fjord_experiment_he570	CC BY-NC 4.0				
325	uvp6_sn000123lp_202103_fjord_experiment_he570	rainer.kiko@obs-vlfr.fr	4208	uvp6_sn000123lp_202103_fjord_experiment_he570	CC BY-NC 4.0				
326	uvp6_sn000125hf_2021_fjord_experiment_he570	rainer.kiko@obs-vlfr.fr	4515	uvp6_sn000125hf_2021_fjord_experiment_he570	CC BY-NC 4.0				
328	uvp6_sn000003lp_2021_sea002_m490	marc.picheral@obs-vlfr.fr	4211	uvp6_sn000003lp_2021_sea002_m490					
329	uvp6_sn000143lp_20210331_intercalibrage		4213	uvp6_sn000143lp_20210331_intercalibrage	CC BY-NC 4.0				
330	BATS								
331	uvp6_sn000107lp_20210316_hippo	valentin.siebert@univ-brest.fr	4275	uvp6_sn000107lp_20210316_hippo					
332	uvp6_sn000003lp_2021_sea002_m491	marc.picheral@obs-vlfr.fr	4282	uvp6_sn000003lp_2021_sea002_m491					
333	uvp6_sn000009lp_20210421_intercalibrage	marc.picheral@imev-mer.fr	4308	uvp6_sn000009lp_20210421_intercalibrage	CC BY-NC 4.0				
334	uvp6_sn000109lp_20210421_intercalibrage	marc.picheral@imev-mer.fr	4309	uvp6_sn000109lp_20210421_intercalibrage	CC BY-NC 4.0				
335	uvp6_sn000123lp_20210421_intercalibrage	marc.picheral@imev-mer.fr	4310	uvp6_sn000123lp_20210421_intercalibrage	CC BY-NC 4.0				
336	uvp6_sn000125hf_20210421_intercalibrage	marc.picheral@imev-mer.fr	4311	uvp6_sn000125hf_20210421_intercalibrage	CC BY-NC 4.0				
337	uvp6_sn000143lp_20210421_intercalibrage	marc.picheral@imev-mer.fr	4316	uvp6_sn000143lp_20210421_intercalibrage	CC BY-NC 4.0				
338	uvp5_sn202_ps124_cosmus_filtered	andreas.rogge@awi.de	4317	uvp5_sn202_ps124_cosmus_filtered	Copyright				
339	uvp6_sn000007lp_202102_ps124_drifting_traps	andreas.rogge@awi.de	4321	uvp6_sn000007lp_202102_ps124_drifting_traps	Copyright				
341	uvp6_sn000007lp_2021_ps124_eddy_lander	andreas.rogge@awi.de	4323	uvp6_sn000007lp_2021_ps124_eddy_lander	Copyright				
342	uvp6_sn000001lp_20210430_basintest		4325	uvp6_sn000001lp_20210430_basintest					
343	uvp6_sn000003lp_2021_sea002_m493	marc.picheral@obs-vlfr.fr	4360	uvp6_sn000003lp_2021_sea002_m493					
344	uvp6_sn000125hf_20210519_intercalibrage		4402	uvp6_sn000125hf_20210519_intercalibrage	CC BY-NC 4.0				
345	uvp6_sn000115lp_20210519_intercalibrage		4403	uvp6_sn000115lp_20210519_intercalibrage					
346	uvp5_sn200_perle4_2021_filtered	demadron@univ-perp.fr	4412	UVP5 PERLE 04 2021 (sn200_filtered)					
347	uvp6_sn000003lp_2021_sea002_m494	marc.picheral@obs-vlfr.fr	4448	uvp6_sn000003lp_2021_sea002_m494					
348	uvp5_sn207_2021_a22	amcdonnell@alaska.edu	4458	uvp5_sn207_2021_a22					
350	uvp6_sn000111lp_20210602_intercalibrage								
351	uvp6_sn000112lp_20210602_intercalibrage								
352	uvp6_sn000126hf_20210602_intercalibrage	marc.picheral@imev-mer.fr	4493	uvp6_sn000126hf_20210602_intercalibrage	CC BY-NC 4.0				
353	uvp6_sn000127hf_20210602_intercalibrage		4494	uvp6_sn000127hf_20210602_intercalibrage	CC BY-NC 4.0				
354	uvp6_sn000128hf_20210602_intercalibrage	marc.picheral@imev-mer.fr	4495	uvp6_sn000128hf_20210602_intercalibrage	CC BY-NC 4.0				
355	uvp6_sn000101lp_2020_float_triatlas	lars.stemmann@obs-vlfr.fr							
356	uvp6_sn000101lp_2020_float_triatlas_remote	lars.stemmann@obs-vlfr.fr							
357		lars.stemmann@obs-vlfr.fr							
358	uvp6_sn000113lp_2020_float_triatlas_remote	lars.stemmann@obs-vlfr.fr							
361	uvp6_sn000124lp_20210617_intercalibrage		4517	uvp6_sn000124lp_20210617_intercalibrage	CC BY-NC 4.0				
362	uvp6_sn000148lp_20210617_intercalibrage		4518	uvp6_sn000148lp_20210617_intercalibrage	CC BY-NC 4.0				
363	uvp5_sn205_export_2021_filtered	rainer.kiko@imev-mer.fr	4521	uvp5_sn205_export_2021_filtered					
364	uvp6_sn000112lp_2021_export	rainer.kiko@imev-mer.fr	4541	uvp6_sn000112lp_200m_2021_export	CC BY-NC 4.0				
365	uvp6_sn000111lp_2021_export	rainer.kiko@imev-mer.fr	4543	uvp6_sn000111lp_100m_2021_export	CC BY-NC 4.0				
366	uvp6_sn000003lp_2021_sea002_m495	marc.picheral@obs-vlfr.fr	4545	uvp6_sn000003lp_2021_sea002_m495					
367	uvp6_sn000003lp_2021_sea002_m496	marc.picheral@obs-vlfr.fr	4551	uvp6_sn000003lp_2021_sea002_m496					
368	Party	leo.berline@mio.osupytheas.fr							
369	uvp5_sn009_skq202106s	amcdonnell@alaska.edu	4624	uvp5_sn009_skq202106s					
370	uvp5_sn009_skq202110s	amcdonnell@alaska.edu	4623	uvp5_sn009_skq202110s					
371	uvp5_sn203_nasa_exports_north_atlantic_2021	amcdonnell@alaska.edu	4661	uvp5_sn203_nasa_exports_north_atlantic_2021					
374	M108_aa_exp_test1	rkiko@geomar.de							
375	uvp6_sn000001lp_20210607_limite_turbidite		4600	uvp6_sn000001lp_20210607_limite_turbidite					
376	sn203_msm94_calibration_test1	rainer.kiko@obs-vlfr.fr							
377	sn203_msm94_calibration_test1	rainer.kiko@obs-vlfr.fr							
378	calibration_test_1_uvp5_sn203_greenedge_2016	lars.stemmann@obs-vlfr.fr							
379	Planktoscope_2021_export_ctd	laetitia.drago@imev-mer.fr							
380	uvp6_sn000110lp_2021_float_remote								
381	uvp6_sn000006lp_2021_SG150_sfi_harvest	sunnje.basedow@uit.no	4791	uvp6_sn000006lp_2021_SG150_sfi_harvest					
382	uvp6_sn000141lp_202107_ccelter_2021_p2107_c1150_vig	tristan.biard@univ-littoral.fr	4862	uvp6_sn000141lp_202107_ccelter_2021_p2107_c1150_vig					
383	uvp6_sn000147lp_202107_ccelter_2021_p2107_c1400_vig	tristan.biard@univ-littoral.fr	4842	uvp6_sn000147lp_202107_ccelter_2021_p2107_c1450_vig					
385	uvp6_sn000141lp_202107_ccelter_2021_p2107_c3150_vig	tristan.biard@univ-littoral.fr	4873	uvp6_sn000141lp_202107_ccelter_2021_p2107_c3150_vig					
386	uvp6_sn000147lp_202107_ccelter_2021_p2107_c3400_vig	tristan.biard@univ-littoral.fr	4875	uvp6_sn000147lp_202107_ccelter_2021_p2107_c3450_vig					
387	uvp6_sn000130hf_20210927_intercalibrage		4887	uvp6_sn000130hf_20210927_intercalibrage					
388	/uvp6_sn000150hf_20210927_intercalibrage		4888	/uvp6_sn000150hf_20210927_intercalibrage					
389	uvp6_sn000008lp_20210927_intercalibrage		4903	uvp6_sn000008lp_20210927_intercalibrage					
393	uvp6_sn000003lp_20210927_intercalibrage		4932	uvp6_sn000003lp_20210927_intercalibrage	CC0 1.0				
394	uvp5_sn002_iado_2021	irisson@obs-vlfr.fr	4933	uvp5_sn002_iado_2021	Copyright				
395	uvp6_sn000106lp_20210927_intercalibrage		4940	uvp6_sn000106lp_20210927_intercalibrage	CC0 1.0				
396	uvp6_sn000135lp_20210927_intercalibrage		4941	uvp6_sn000135lp_20210927_intercalibrage	CC BY-NC 4.0				
397	uvp6_sn000144lp_20210927_intercalibrage		4942	uvp6_sn000144lp_20210927_intercalibrage	CC BY-NC 4.0				
398	uvp6_sn000130hf_20210929_intercalibrage		4943	uvp6_sn000130hf_20210929_intercalibrage	CC BY-NC 4.0				
400	uvp6_sn000006lp_2021_SG150_PolarFront		4952	uvp6_sn000006lp_2021_SG150_PolarFront	CC BY-NC 4.0				
401	uvp6_sn000001lp_202108_HE582	moritz.holtappels@awi.de	4978	uvp6_sn000001lp_202108_HE582					
402	uvp6_sn000126hf/uvp6_sn00126-hf_20210801_sas_21	pauline.snoeijs-leijonmalm@su.se	4993	uvp6_sn00126-hf_20210801_sas_21					
403	uvp6_sn000102lp_2021_sg2105	kbuesseler@whoi.edu	5011	uvp6_sn000102lp_2021_sg2105	CC BY 4.0				
406	uvp6_sn000102lp_202107_otz_ar59	kbuesseler@whoi.edu	5014	uvp6_sn000102lp_202107_otz_ar59					
409	uvp6_sn000102lp_2021_whoidock042021	kbuesseler@whoi.edu	5025	uvp6_sn000102lp_2021_whoidock042021					
410	uvp6_sn000102lp_2021_whoidock042021	kbuesseler@whoi.edu	5026	uvp6_sn000102lp_2021_whoidock042021					
411	uvp6_sn000002lp_201909_m158	rainer.kiko@imev-mer.fr	5031	uvp6_sn000002lp_201909_m158					
412	uvp6_sn000004lp_201909_m158	rainer.kiko@imev-mer.fr	5033	uvp6_sn000004lp_201909_m158					
413	uvp6_sn00126-hf_20210801_sas_21_time_series	pauline.snoeijs-leijonmalm@su.se	5037	uvp6_sn00126-hf_20210801_sas_21_time_series					
414	uvp6_sn000130hf_2021_darkedge	marc.picheral@imev-mer.fr	5108	uvp6_sn000130hf_2021_darkedge					
415	uvp6_sn000129lp_2021_testre	marc.picheral@imev-mer.fr							
416	uvp6_sn000129lp_2021_testre_remote	marc.picheral@imev-mer.fr							
